name,path,split,family_id,archetype,heldout_compositional,variant_index,engagement_class,initial_min_cross_distance,terrain,formation,orientation,num_allies,num_enemies,ally_value,enemy_value,ally_value_ratio,difficulty_proxy,ally_composition,enemy_composition,sha256
r2_2v1_stalker_train_0011,configs/train/r2_2v1_stalker_train_0011.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,11,near,8.1731,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",0a6150a533608776fde46806720c52a716d1e0442c8caceb662e3eeb0d512ac0
r2_2v1_stalker_train_0012,configs/train/r2_2v1_stalker_train_0012.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,12,near,7.3855,OCTAGON,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",2697062b772fb4bc65d36c5f5ee60ec1ed7ab880f91e53acd996f593b35c0ed8
r2_2v1_stalker_train_0013,configs/train/r2_2v1_stalker_train_0013.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,13,medium,11.6471,SIMPLE,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",45e573bd3882a133e292b71521a7a6d6a3e9c91bd5abdfaa2d027c3aea62ef0b
r2_2v1_stalker_train_0014,configs/train/r2_2v1_stalker_train_0014.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,14,near,7.723,NARROW,staggered,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",47ccb9498080f8c5ae90ae4644d6e389831278d81f7fbc2f1c736095dab748cf
r2_2v1_stalker_train_0015,configs/train/r2_2v1_stalker_train_0015.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,15,immediate,5.5551,OCTAGON,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",05cf52a5d00a4ae0038fea9e8c1a54d1991b4c4fb365c0a1b3d7b9592faa08d9
r2_2v1_stalker_train_0016,configs/train/r2_2v1_stalker_train_0016.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,16,immediate,4.7508,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",fcfcb1289d04bcf649ed576210a4af76b39926ab10d9529e210b9e75a518c48b
r2_2v1_stalker_train_0017,configs/train/r2_2v1_stalker_train_0017.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,17,immediate,5.3731,NARROW,close_split,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",52076d7b5cdd29ac92b106ab1958726d9669c837a96159ab5e0d8be8c49c372d
r2_2v1_stalker_train_0018,configs/train/r2_2v1_stalker_train_0018.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,18,immediate,5.1251,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",19cd950089cd0fb334e4beb716b3179c4c8601e329a4bdd955bf8f92706e277d
r2_2v1_stalker_train_0019,configs/train/r2_2v1_stalker_train_0019.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,19,medium,11.5977,OCTAGON,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",c87452c3b56d788166596dfef54cd832a5f75b65bdc604312247fbaca7f52615
r2_2v1_stalker_train_0020,configs/train/r2_2v1_stalker_train_0020.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,20,medium,10.6981,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",41e71a7d2224964d50e10bbba82f3ad157e78495683fffd08e4314dbb6915b81
r2_2v1_stalker_train_0021,configs/train/r2_2v1_stalker_train_0021.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,21,far,14.4109,SIMPLE,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",a67f803df82bfd9d24c0e0a9432e1fd09af1b8f5ea37aabc881cc6240abaa2b8
r2_2v1_stalker_train_0022,configs/train/r2_2v1_stalker_train_0022.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,22,far,14.1332,OCTAGON,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",bac24aa773da5a3fb9f7220f72cd31b6ba4488520400b0c9a60061b45f95224e
r2_2v1_stalker_train_0023,configs/train/r2_2v1_stalker_train_0023.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,23,far,14.4369,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",2688847aec79c1410f41878417b335615ee23d0f61d9e0ed07157196dde7331e
r2_2v1_stalker_train_0024,configs/train/r2_2v1_stalker_train_0024.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,24,near,8.2731,NARROW,compact,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",443e8ef70252984692b3490e7764e9152ca08b824b130d9ab904901e5ef69a3f
r2_2v1_stalker_train_0025,configs/train/r2_2v1_stalker_train_0025.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,25,near,8.1461,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",3a135f118bf6e44048f29f21014dfc5a35906fc2b44b08aa398149f81509767f
r2_2v1_stalker_train_0026,configs/train/r2_2v1_stalker_train_0026.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,26,near,7.6693,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",80b424980d6c6f46c6ee280b44dd37bb0fee4b399fec37eee068a616ba460dc9
r2_2v1_stalker_train_0027,configs/train/r2_2v1_stalker_train_0027.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,27,near,8.5316,NARROW,wide_split,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",2e6672abf89d93e5be5489e2516d58c2ca24e732cea3154d94be60b765546b81
r2_2v1_stalker_train_0028,configs/train/r2_2v1_stalker_train_0028.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,28,near,7.7298,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",4729341963bf6de9ad348f4816f23f62f6447b75a9df4720f45e4a25d1205f88
r2_2v1_stalker_train_0029,configs/train/r2_2v1_stalker_train_0029.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,29,near,8.3456,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",4dbe90b0060076ec75072bd9c1af71f27f10ccee43be9e965b6d90ddab764a25
r2_2v1_stalker_train_0030,configs/train/r2_2v1_stalker_train_0030.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,30,medium,11.2327,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",c2309eb2108b37fd5c65859bc7d534355dadc5eec2073eb5ee6892dd1b12d672
r2_2v1_stalker_train_0031,configs/train/r2_2v1_stalker_train_0031.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,31,near,8.4335,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",e4acb69d2630436cd2ee0aa26d0d77652fab29e033a6153a23e8e4267fc4b9b3
r2_2v1_stalker_train_0032,configs/train/r2_2v1_stalker_train_0032.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,32,medium,10.6898,OCTAGON,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",93c538510d8b199f701de4adc7877a4f58288791fc3d361cd0badc1b0d88dbaf
r2_2v1_stalker_train_0033,configs/train/r2_2v1_stalker_train_0033.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,33,immediate,5.4092,SIMPLE,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",0454c452d1fc4366413504373e241e4202cb0638f5973ee52e7b7859f8b6878c
r2_2v1_stalker_train_0034,configs/train/r2_2v1_stalker_train_0034.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,34,near,7.8716,NARROW,staggered,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",b8eb61db616dcd8d1ae0c18187803e11e73413ef028650b106fc3633bab71bac
r2_2v1_stalker_train_0035,configs/train/r2_2v1_stalker_train_0035.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,35,immediate,5.2289,OCTAGON,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",1794004489f708136153d4b5b8d2f2efbd03ac3b32c932c1c8f2839df5cb513f
r2_2v1_stalker_train_0036,configs/train/r2_2v1_stalker_train_0036.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,36,immediate,4.4514,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",8a49c1c26a146e1e2677ead6769128c0dd23d9dab42313876c75fb44bd4830af
r2_2v1_stalker_train_0037,configs/train/r2_2v1_stalker_train_0037.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,37,near,8.3257,NARROW,close_split,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",9768091928819b0f215e64a5c655ad672bff51f7616361245886a06a5be1bf09
r2_2v1_stalker_train_0038,configs/train/r2_2v1_stalker_train_0038.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,38,immediate,4.9764,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",8da0b9e4b5ee6c858cd004c4fb24f2ad4e40dee9eccc3752ae903172c153d6fe
r2_2v1_stalker_train_0039,configs/train/r2_2v1_stalker_train_0039.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,39,medium,11.2187,OCTAGON,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",ebc0f7bf89c6a9b4130fbfa7534ad61389d8b656df5b1b3c0485f1c69c31d43f
r2_2v1_stalker_train_0040,configs/train/r2_2v1_stalker_train_0040.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,40,medium,10.8013,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",1a10ece2c7d3b6ca0f05d8e2fb5200b352ede656d85519bf1af11c1df28b5302
r2_2v1_stalker_train_0041,configs/train/r2_2v1_stalker_train_0041.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,41,near,8.38,SIMPLE,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",4b8039af74736ad8da6651b03bf2d03ed1a5924d6aff05db46dcada868dfc180
r2_2v1_stalker_train_0042,configs/train/r2_2v1_stalker_train_0042.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,42,medium,10.8846,OCTAGON,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",eb4b84f3d92b864d6e2bdba9aa59a41a54eba2b5d293c05c707e86258ce288af
r2_2v1_stalker_train_0043,configs/train/r2_2v1_stalker_train_0043.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,43,far,14.3101,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",28c7685962d47190665ec145ea5599624fcde879c9b1036635f0dddccd1114c7
r2_2v1_stalker_train_0044,configs/train/r2_2v1_stalker_train_0044.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,44,near,8.4453,NARROW,compact,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",91939b1877f1cd2af36d5e952477089131257bc88c0749cf59166f5987b27419
r2_2v1_stalker_train_0045,configs/train/r2_2v1_stalker_train_0045.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,45,medium,11.2474,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",5c41f58b255c23c04a35fd21409e70844a58818551bb7d5b31e122576da9c137
r2_2v1_stalker_train_0046,configs/train/r2_2v1_stalker_train_0046.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,46,near,7.8562,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",93e2532153dc9c4bb1c22d7e914e38c93e32bde8187cfa67e6386b9ada9d51c0
r2_2v1_stalker_train_0047,configs/train/r2_2v1_stalker_train_0047.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,47,immediate,5.3804,NARROW,wide_split,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",fd6641dac683d0e0700038fcaa37af6d96aef9af1bf0881f5f1c22524fca1c94
r2_2v1_stalker_train_0048,configs/train/r2_2v1_stalker_train_0048.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,48,medium,10.5341,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",7d4e855430847b1697cdd7cedd3c20660b8c4a24a487b811f7e0a1d6e24ba63c
r2_2v1_stalker_train_0049,configs/train/r2_2v1_stalker_train_0049.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,49,near,8.1335,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",37d7afe7de30d878fafda5e8beed2421722774c13ee68c5d795fa512229ff6c7
r2_2v1_stalker_train_0050,configs/train/r2_2v1_stalker_train_0050.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,50,medium,11.3062,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",ad35af60ef51d24fb3533f7d65af74d7b4ee04f4b8f52c07f14187d5934e430c
r2_2v1_stalker_train_0051,configs/train/r2_2v1_stalker_train_0051.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,51,immediate,5.2101,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",427c2b41c7b2b2b3a5c2fa31a39fd29d2f8cda67a9719dde85d6954ef7fdce0e
r2_2v1_stalker_train_0052,configs/train/r2_2v1_stalker_train_0052.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,52,near,7.7328,OCTAGON,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",7625ace82fbb87e40d36cd695885990ddc74bcf17f50bcec9d3228558734bb3b
r2_2v1_stalker_train_0053,configs/train/r2_2v1_stalker_train_0053.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,53,near,8.3015,SIMPLE,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",72fec47da4052bb54c9445490783a37c65c5e1d3a9d87d87499c6f7564030ca7
r2_2v1_stalker_train_0054,configs/train/r2_2v1_stalker_train_0054.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,54,immediate,4.9089,NARROW,staggered,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",cb9bdeea7193a8bc8646bacc7a71c33438213e02cf027c59e70ade974c6d56fb
r2_2v1_stalker_train_0055,configs/train/r2_2v1_stalker_train_0055.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,55,near,8.2127,OCTAGON,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",3f2860ccd27d5c5c6548160fa5ccdd50e08a78e1d5b657c6a107de93b09ce4b6
r2_2v1_stalker_train_0056,configs/train/r2_2v1_stalker_train_0056.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,56,near,7.5326,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",aca425225f47381f4f377ffc8a9e663d005d7332c5b64bc1ab3237076a8bef56
r2_2v1_stalker_train_0057,configs/train/r2_2v1_stalker_train_0057.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,57,immediate,5.2351,NARROW,close_split,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",ddbc3e5f46e35789bfc7c0c23630ae340cd3a3f39baf18864c610cefa023cea0
r2_2v1_stalker_train_0058,configs/train/r2_2v1_stalker_train_0058.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,58,near,8.0368,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",0db056a52dc415dd7f948a12d17fa60ecf20d9d6ee6b29cafbf5a635011f65b4
r2_2v1_stalker_train_0059,configs/train/r2_2v1_stalker_train_0059.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,59,immediate,5.231,OCTAGON,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",aace099de336f81401e0d8098272056e297109c623322a23de2ab4befaeccf40
r2_2v1_stalker_train_0060,configs/train/r2_2v1_stalker_train_0060.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,60,near,7.69,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",a55382683e072009b04624100e6be0c273f444ff166ddb669b05aec850e5fb09
r2_2v1_stalker_train_0061,configs/train/r2_2v1_stalker_train_0061.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,61,medium,11.5703,SIMPLE,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",846eeb83e20b95ed14f7f1d504de29050ee0ccd7985b34073ff9c057e02c056e
r2_2v1_stalker_train_0062,configs/train/r2_2v1_stalker_train_0062.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,62,far,14.319,OCTAGON,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",b7692df4fdaebb6738dcd1d46dd122e930aa95fc3ef34d883a019d055b08d26d
r2_2v1_stalker_train_0063,configs/train/r2_2v1_stalker_train_0063.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,63,near,8.487,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",7ccb3db6a121bfb0db43ed3d91d081230efc76fcabedb53cd1f6f562d02f9416
r2_2v1_stalker_train_0064,configs/train/r2_2v1_stalker_train_0064.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,64,near,8.2643,NARROW,compact,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",2e16ca35ea7a111e4e644780ecbfde4cf858443a1c8bb2f9cf3f3e7bd2621f31
r2_2v1_stalker_train_0065,configs/train/r2_2v1_stalker_train_0065.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,65,medium,11.6401,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",0eb9f8f55aca56eed20a11b4b19559e16b302cf09a159f73ce1304f1c7f0133f
r2_2v1_stalker_train_0066,configs/train/r2_2v1_stalker_train_0066.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,66,near,8.0043,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",54912528e1ce4f5f70ae407edb892b2508e46aedddf2ca49a9aa8b60be949324
r2_2v1_stalker_train_0067,configs/train/r2_2v1_stalker_train_0067.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,67,immediate,5.5264,NARROW,wide_split,vertical_same_side,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",a7567ebcefe87dafb01892cee5de58cd7a6a4e796562f191291ef9db3d15573e
r2_2v1_stalker_train_0068,configs/train/r2_2v1_stalker_train_0068.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,68,medium,10.6451,SIMPLE,compact,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",d002e42a5eb3be334f6ab2d7b2dc9d4e8afa27df9364bed46f31e148807422b2
r2_2v1_stalker_train_0069,configs/train/r2_2v1_stalker_train_0069.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,69,near,8.4305,OCTAGON,close_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",6578afac8cfcfc754c9aa2035bb59f3a81f776b03293f5861641a218546a21e3
r2_2v1_stalker_train_0070,configs/train/r2_2v1_stalker_train_0070.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,70,near,7.8074,SIMPLE,staggered,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",cd63cc2e18289449dd97a9cc37db2ee566aa98b656c9d997d0bd77df845b87dc
r2_2v1_stalker_train_0071,configs/train/r2_2v1_stalker_train_0071.json,train,stalker_2v1_mirror_only,stalker_2v1_mirror,False,71,far,14.2835,SIMPLE,wide_split,opposing,2,1,250.0,125.0,2.0,very_easy_theoretical_2v1,"{""STALKER"": 2}","{""STALKER"": 1}",463cc826ba08fe61e6123238b00c7cce932f0dc77687a9bff34390c637df46ff
