target_timestep,entity,slot_idx,faction,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,one_step_abs_error,open_loop_abs_error
23,A0,0,ally,2,dx,position,0.0,-0.036925,-0.27349,-0.270891,0.27349,0.270891
12,A0,0,ally,0,hp,health_shield,0.8875,0.808775,0.618792,1.013301,0.268708,0.125802
24,A0,0,ally,2,dx,position,0.0,-0.036925,-0.267026,-0.268277,0.267026,0.268277
20,A0,0,ally,2,dx,position,0.0,-0.036925,-0.264995,-0.24952,0.264995,0.24952
22,A0,0,ally,2,dx,position,0.0,-0.036925,-0.261729,-0.257898,0.261729,0.257898
21,A1,1,ally,1,cooldown_or_energy,cooldown,0.580224,0.218908,0.320724,0.266439,0.2595,0.313785
19,A0,0,ally,2,dx,position,0.0,-0.036925,-0.252196,-0.234682,0.252196,0.234682
18,A0,0,ally,2,dx,position,0.0,-0.036925,-0.251823,-0.250434,0.251823,0.250434
15,A0,0,ally,1,cooldown_or_energy,cooldown,0.673507,0.398468,0.42926,0.396563,0.244247,0.276945
16,A0,0,ally,2,dx,position,0.0,-0.036925,-0.236488,-0.259806,0.236488,0.259806
14,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,0.150488,0.235284,0.194765,0.235284,0.194765
11,A3,3,ally,4,shield,health_shield,0.775,0.715087,0.542812,0.521756,0.232188,0.253244
21,A0,0,ally,10,unit_type_5,unit_type,0.0,0.159875,-0.231608,-0.232311,0.231608,0.232311
10,A3,3,ally,4,shield,health_shield,0.775,0.729653,0.543616,0.731344,0.231384,0.043656
17,A3,3,ally,4,shield,health_shield,0.775,0.662459,0.546751,0.156226,0.228249,0.618774
12,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,0.112311,0.227031,0.136115,0.227031,0.136115
23,A0,0,ally,10,unit_type_5,unit_type,0.0,0.159875,-0.226921,-0.223851,0.226921,0.223851
20,A0,0,ally,10,unit_type_5,unit_type,0.0,0.159875,-0.224545,-0.226862,0.224545,0.226862
25,A0,0,ally,10,unit_type_5,unit_type,0.0,0.159875,-0.222938,-0.233936,0.222938,0.233936
22,A0,0,ally,10,unit_type_5,unit_type,0.0,0.159875,-0.217488,-0.220732,0.217488,0.220732
17,A0,0,ally,10,unit_type_5,unit_type,0.0,0.159875,-0.215556,-0.044114,0.215556,0.044114
23,A3,3,ally,4,shield,health_shield,0.775,0.712992,0.561861,0.023555,0.213139,0.751445
20,A3,3,ally,4,shield,health_shield,0.775,0.711026,0.564392,0.06444,0.210608,0.71056
13,A0,0,ally,1,cooldown_or_energy,cooldown,0.0,0.136804,0.210067,0.122002,0.210067,0.122002
7,A3,3,ally,4,shield,health_shield,0.775,0.749034,0.984737,0.979964,0.209737,0.204964
